"Which CNCF project(s) do you primarily contribute to?
Specify the project(s) where you are most active (e.g., Kubernetes, Prometheus, Argo).","What is your primary contributor role?
Select the role that best describes your core activities within the community.","How long have you been contributing to CNCF projects?
This helps us understand if AI adoption patterns differ between seasoned maintainers and new contributors.","Do any of the projects you contribute to currently disclose the usage of AI tools in its documentation or governance?
Does the project's README, website, or contributing guide explicitly mention if AI is used in the development process?","Are you aware of any specific AI policies governing your project(s)?
Whether at the project or org level, are there rules you are expected to follow?","If yes, which policy does your project have?
Please describe the current ""vibe"" or official stance on AI tools in your project(s).","If yes, could you provide link to the repository/policy?","How do you currently use AI in your workflow? Select all that apply.
Please categorize your level of AI interaction from simple external queries to fully integrated automation.","Which AI tools do you use most frequently for project work? Tell us your ""stack"" (e.g., GitHub Copilot, ChatGPT, KubeGPT, etc.).",Where is your projects integrating AI-powered tools? Identify where AI is being used as a project-wide utility rather than just an individual's personal tool.,"In your opinion, in which areas has AI been most helpful? (Select all that apply) Where are you seeing the biggest ""productivity wins"" or quality improvements?","Do you believe AI-assisted contributions should require disclosure in pull requests? We are seeking community sentiment on whether ""AI-authored"" tags should be a standard requirement for transparency.","When reviewing pull requests from new contributors in your CNCF project, what challenges or concerns do you encounter if the submitted code appears to be partially or fully generated using AI tools?
As a reviewer, how do you handle the influx of code that may not have been written by a human?","What is your biggest concern regarding AI usage in CNCF projects?
From legal liability to the ""noise"" of low-quality PRs, what keeps you up at night?",Anything else you’d like to share on the topic? Use this space for any nuances we might have missed in the multiple-choice questions.
Dapr,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude code,"Code Reviews, Code changes ","Writing/Refactoring Code, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"Thanos, external secrets, backstage","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",,"Code Reviews, Issue Triaging, CI/CD","Writing/Refactoring Code, Writing/Improving Documentation, Managing CI/CD or Infrastructure, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,Reviewer or maintainer workload,
Thanos,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,I'd love to have some policy in place but I'm afraid that we are so into AI at this point that it is becoming really hard to know whether some code was generated or not,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Copilot only, a bit of Claude.",Code Reviews,"Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",I try to stay away from them. If a robot writes something then I don't feel obligated to review it,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth, All of the above really.",
Backstage,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","ClaudeCode ",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
CloudNativePG,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Speaker",2 years+,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),https://github.com/cloudnative-pg/governance/blob/main/AI_POLICY.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude,It doesn't,"Writing/Improving Documentation, Code Reviews / Pull Requests Analysis, Writing tests boilerplate ","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
"Kyverno, ArgoCD, cert-manager","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),https://github.com/kyverno/community/blob/main/AI_USAGE_POLICY.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot and Claude Code,It doesn't,"Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, High volume of low-effort issues or PRs",
OpenFeature,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Governance Committe member",2 years+,No,Yes,No policies exist,,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Gemini Code Assist (for reviews), Claude Code + Cursor for developement",Code Reviews,"Writing/Refactoring Code, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Reviewer or maintainer workload, Impact on community health and contributor growth",
OpenTelemetry,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,No,No,No policies exist,,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","GitHub Copilot , Cursor , Antigravitry","Code Reviews, Issue Triaging","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",It doesn’t apply to me,Reviewer or maintainer workload,
Kubernetes,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,None,,It doesn't,Code Reviews / Pull Requests Analysis,"Yes, always","We are still trying to figure this out, but in general these PRs are more likely to be a nuisance than to be helpful","License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Kubernetes,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),https://github.com/kubernetes/community/blob/main/contributors/guide/pull-requests.md#ai-guidance,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude Code, OpenCode",Code Reviews,"Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
